borough,nta_code,zone
Bronx,BX01,4294
Bronx,BX03,3071
Bronx,BX05,6579
Bronx,BX06,9153
Bronx,BX07,4031
Bronx,BX08,3605
Bronx,BX09,5111
Bronx,BX10,3860
Bronx,BX13,4078
Bronx,BX14,8228
Bronx,BX17,5291
Bronx,BX22,15837
Bronx,BX26,6203
Bronx,BX27,3051
Bronx,BX28,9846
Bronx,BX29,15303
Bronx,BX30,4215
Bronx,BX31,3684
Bronx,BX33,2802
Bronx,BX34,5901
Bronx,BX35,5487
Bronx,BX36,6154
Bronx,BX37,7261
Bronx,BX39,11582
Bronx,BX40,2513
Bronx,BX41,5681
Bronx,BX43,6870
Bronx,BX44,4979
Bronx,BX46,3999
Bronx,BX49,9508
Bronx,BX52,4454
Bronx,BX55,3411
Bronx,BX59,4360
Bronx,BX62,3588
Bronx,BX63,13381
Bronx,BX75,2775
Brooklyn,BK09,103490
Brooklyn,BK17,11826
Brooklyn,BK19,4434
Brooklyn,BK21,5164
Brooklyn,BK25,17493
Brooklyn,BK26,3848
Brooklyn,BK27,3559
Brooklyn,BK28,10456
Brooklyn,BK29,8409
Brooklyn,BK30,9325
Brooklyn,BK31,35927
Brooklyn,BK32,33394
Brooklyn,BK33,77653
Brooklyn,BK34,9624
Brooklyn,BK35,59136
Brooklyn,BK37,198161
Brooklyn,BK38,176416
Brooklyn,BK40,21460
Brooklyn,BK41,12358
Brooklyn,BK42,46445
Brooklyn,BK43,17980
Brooklyn,BK44,8342
Brooklyn,BK45,9638
Brooklyn,BK46,7593
Brooklyn,BK50,15382
Brooklyn,BK58,15373
Brooklyn,BK60,39490
Brooklyn,BK61,105591
Brooklyn,BK63,24690
Brooklyn,BK64,54928
Brooklyn,BK68,74649
Brooklyn,BK69,100056
Brooklyn,BK72,8080
Brooklyn,BK73,359295
Brooklyn,BK75,80312
Brooklyn,BK76,137519
Brooklyn,BK77,77482
Brooklyn,BK78,106234
Brooklyn,BK79,13104
Brooklyn,BK81,9889
Brooklyn,BK82,15727
Brooklyn,BK83,5801
Brooklyn,BK85,4748
Brooklyn,BK88,15760
Brooklyn,BK90,118640
Brooklyn,BK91,12375
Brooklyn,BK93,2348
Brooklyn,BK95,10336
Brooklyn,BK96,13905
Brooklyn,BK99,8155
EWR,NJ01,105
Manhattan,MN01,19257
Manhattan,MN03,127778
Manhattan,MN04,34290
Manhattan,MN06,17802
Manhattan,MN09,56475
Manhattan,MN12,402016
Manhattan,MN13,1380265
Manhattan,MN14,311722
Manhattan,MN15,406319
Manhattan,MN17,1822472
Manhattan,MN19,315113
Manhattan,MN20,414087
Manhattan,MN21,251499
Manhattan,MN22,496910
Manhattan,MN23,1044279
Manhattan,MN24,1033898
Manhattan,MN25,473634
Manhattan,MN27,117898
Manhattan,MN28,252805
Manhattan,MN31,328142
Manhattan,MN32,241968
Manhattan,MN33,51544
Manhattan,MN34,50284
Manhattan,MN35,35881
Manhattan,MN36,49756
Manhattan,MN40,513858
Manhattan,MN50,73119
Manhattan,MN99,47989
Queens,QN01,3922
Queens,QN02,3332
Queens,QN03,3960
Queens,QN05,3103
Queens,QN06,6552
Queens,QN07,1806
Queens,QN08,5225
Queens,QN10,626
Queens,QN12,808
Queens,QN15,548
Queens,QN17,41920
Queens,QN18,12370
Queens,QN19,8996
Queens,QN20,25198
Queens,QN21,11314
Queens,QN22,24361
Queens,QN23,3598
Queens,QN25,9042
Queens,QN26,4994
Queens,QN27,12137
Queens,QN28,36749
Queens,QN29,22671
Queens,QN30,14201
Queens,QN31,54830
Queens,QN33,2209
Queens,QN34,5431
Queens,QN35,11901
Queens,QN37,11014
Queens,QN38,13667
Queens,QN41,3990
Queens,QN42,3715
Queens,QN43,3026
Queens,QN44,1953
Queens,QN45,2786
Queens,QN46,8880
Queens,QN47,3229
Queens,QN48,3040
Queens,QN49,5199
Queens,QN50,8841
Queens,QN51,6251
Queens,QN52,3668
Queens,QN53,10059
Queens,QN54,11232
Queens,QN55,11025
Queens,QN56,5184
Queens,QN57,5189
Queens,QN60,11798
Queens,QN61,15545
Queens,QN62,5571
Queens,QN63,20756
Queens,QN66,2867
Queens,QN68,106454
Queens,QN70,91239
Queens,QN71,27253
Queens,QN72,46610
Queens,QN76,6812
Queens,QN98,555288
Staten Island,SI01,39
Staten Island,SI07,634
Staten Island,SI08,511
Staten Island,SI11,37
Staten Island,SI12,450
Staten Island,SI14,662
Staten Island,SI22,435
Staten Island,SI24,1689
Staten Island,SI25,170
Staten Island,SI28,189
Staten Island,SI32,24
Staten Island,SI35,414
Staten Island,SI36,692
Staten Island,SI37,614
Staten Island,SI45,219
Staten Island,SI48,26
Staten Island,SI54,145
Staten Island,SI99,9
